fill	x	y	group
#E6E7E8	0.544543435189226	0.702229822294216	1
#E6E7E8	0.544177001190937	0.707755154240769	1
#E6E7E8	0.5446329020793	0.712848905363073	1
#E6E7E8	0.545621830150627	0.712452768683062	1
#E6E7E8	0.547008161162051	0.707954094657929	1
#E6E7E8	0.547797697988413	0.701493952793889	1
#E6E7E8	0.548184904030466	0.701159148188946	1
#E6E7E8	0.546198053037354	0.69380886199346	1
#E6E7E8	0.544335054615523	0.698203628306243	1
#E6E7E8	0.544543435189226	0.702229822294216	1
#E6E7E8	0.534734576143162	0.382602966667769	2
#E6E7E8	0.54130020531577	0.382261772213821	2
#E6E7E8	0.543887947381506	0.36724924629286	2
#E6E7E8	0.548339449287255	0.367931631088051	2
#E6E7E8	0.548803078215858	0.374755497371393	2
#E6E7E8	0.554491309374507	0.372844811991256	2
#E6E7E8	0.555514789108682	0.346027488026448	2
#E6E7E8	0.559945761359502	0.348347537164663	2
#E6E7E8	0.559888500719805	0.333744781795158	2
#E6E7E8	0.554777117289877	0.333813019958511	2
#E6E7E8	0.5545450928594	0.312180504781372	2
#E6E7E8	0.558140474425721	0.302217034054357	2
#E6E7E8	0.557634748159654	0.302012312058128	2
#E6E7E8	0.551494229357981	0.29955568170377	2
#E6E7E8	0.545510644433869	0.303854823634776	2
#E6E7E8	0.534290164212347	0.303650098684242	2
#E6E7E8	0.532227089146769	0.306857490836744	2
#E6E7E8	0.528663891009999	0.304810211050434	2
#E6E7E8	0.530744716733549	0.330878764807244	2
#E6E7E8	0.534045065595968	0.342069752327952	2
#E6E7E8	0.532070530085708	0.360493662155017	2
#E6E7E8	0.533129253878905	0.365270332784046	2
#E6E7E8	0.530250763290997	0.380896994375634	2
#E6E7E8	0.532647293104034	0.382534727777472	2
#E6E7E8	0.534734576143162	0.382602966667769	2
#E6E7E8	0.532438080214375	0.390723299392654	3
#E6E7E8	0.530179885295725	0.38314887777824	3
#E6E7E8	0.529733434893101	0.388335030503032	3
#E6E7E8	0.531652602307098	0.392565743102628	3
#E6E7E8	0.53243854422706	0.390928015424501	3
#E6E7E8	0.532438080214375	0.390723299392654	3
#82A6BF	0.335033223074933	0.271651818899612	4
#82A6BF	0.336424725668398	0.271788263213601	4
#82A6BF	0.337957021271585	0.270969590573318	4
#82A6BF	0.338826421412532	0.26646653326022	4
#82A6BF	0.339518105076574	0.272402257413607	4
#82A6BF	0.34283055629298	0.270764919778025	4
#82A6BF	0.347351837895338	0.260051593461633	4
#82A6BF	0.355852077738589	0.250697356601921	4
#82A6BF	0.356418800979627	0.248169891638729	4
#82A6BF	0.354528100042958	0.236078752043846	4
#82A6BF	0.361628028153542	0.235259328431951	4
#82A6BF	0.363844438707526	0.242089587133022	4
#82A6BF	0.363809455225802	0.248033262458167	4
#82A6BF	0.36567724445999	0.24728178926959	4
#82A6BF	0.366279091387059	0.237376314804984	4
#82A6BF	0.361852937864115	0.229867035938109	4
#82A6BF	0.358157649279098	0.216583579588123	4
#82A6BF	0.357931628554167	0.212709668104503	4
#82A6BF	0.357818180958616	0.201153936737124	4
#82A6BF	0.358251713816331	0.197065161260971	4
