x	y	group
0.0454545454545455	0.0454545454545455	1
0.113807245386193	0.0454545454545455	1
0.18215994531784	0.134146341463415	1
0.250512645249487	0.200665188470067	1
0.318865345181135	0.289356984478936	1
0.387218045112782	0.378048780487805	1
0.455570745044429	0.444567627494457	1
0.523923444976077	0.488913525498891	1
0.592276144907724	0.577605321507761	1
0.660628844839371	0.644124168514413	1
0.728981544771018	0.688470066518847	1
0.797334244702666	0.799334811529933	1
0.865686944634313	0.843680709534368	1
0.93403964456596	0.888026607538803	1
0.954545454545455	0.954545454545455	1
