x	y	group	PANEL
0.67748772473457	0.676908344045715	1	1
0.676819787251217	0.675448156893488	1	1
0.672189098371123	0.673987536417649	1	1
0.669546449033265	0.669189099167908	1	1
0.671037737098302	0.664261579459406	1	1
0.670604906480872	0.654887529362918	1	1
0.667795086357917	0.654750356875887	1	1
0.669272958534336	0.649891090074085	1	1
0.66747889295977	0.647843178214812	1	1
0.667711037807666	0.640421234026996	1	1
0.661776126099016	0.635460248261083	1	1
0.661377040288231	0.626216757044023	1	1
0.652328712928237	0.623221644029508	1	1
0.648171809619331	0.626284795852767	1	1
0.649999465583434	0.634169455638747	1	1
0.647291826805341	0.637430593989675	1	1
0.645825309807251	0.648116075637316	1	1
0.646446146671177	0.651189612122916	1	1
0.645055561305241	0.655436394839924	1	1
0.646037404949698	0.665578559045767	1	1
0.649713933482981	0.663084549409791	1	1
0.650291267999487	0.667313430217903	1	1
0.65332204768336	0.670231806133186	1	1
0.653474004477179	0.67607402228642	1	1
0.657442708007107	0.677811918424354	1	1
0.660523094452371	0.676560736039208	1	1
0.66424199349685	0.67607402228642	1	1
0.667133102469735	0.685436076092707	1	1
0.669050962283578	0.681491268240666	1	1
0.670194324529193	0.673013699780065	1	1
0.673482430458744	0.67843726580422	1	1
0.67748772473457	0.676908344045715	1	1
0.544543435189226	0.702229822294216	2	1
0.544177001190937	0.707755154240769	2	1
0.5446329020793	0.712848905363073	2	1
0.545621830150627	0.712452768683062	2	1
0.547008161162051	0.707954094657929	2	1
0.547797697988413	0.701493952793889	2	1
0.548184904030466	0.701159148188946	2	1
0.546198053037354	0.69380886199346	2	1
0.544335054615523	0.698203628306243	2	1
0.544543435189226	0.702229822294216	2	1
0.506162605078755	0.673848418249944	3	1
0.519652799795888	0.674822211910505	3	1
0.518639477055466	0.67190079058301	3	1
0.518961256655699	0.658873587914724	3	1
0.517185125869524	0.653722107299759	3	1
0.521122360436885	0.641509289883165	3	1
0.522437010243702	0.628801146031778	3	1
0.523615718286223	0.612379752225211	3	1
0.523502347172723	0.603433407073225	3	1
0.522360995256181	0.600973969110821	3	1
0.524553544807645	0.590454675575409	3	1
0.527825278287048	0.588338097528219	3	1
0.528940789911241	0.583013881570585	3	1
0.513665972215841	0.555246553287184	3	1
0.509760662351238	0.553199668539308	3	1
0.507455563873957	0.552039732204636	3	1
0.507193162987254	0.55777092627619	3	1
0.503606825171844	0.561113722012362	3	1
0.48716713628867	0.593118004805524	3	1
0.482620356450826	0.600837330612213	3	1
0.477709472578596	0.608761163134928	3	1
0.477731285712781	0.611355793581297	3	1
0.477793929498558	0.618451622059341	3	1
0.490243287411211	0.633829774240179	3	1
0.489802996625555	0.638789747077317	3	1
0.496233051296432	0.641577305629227	3	1
0.49489015569993	0.659631452033649	3	1
0.493790602416673	0.661978046507161	3	1
0.50137088052555	0.67141394135912	3	1
0.506162605078755	0.673848418249944	3	1
0.0709453845283933	0.325214871934247	4	1
0.0707794649062503	0.325078390723788	4	1
0.0706762865416628	0.325419593570545	4	1
0.0709453845283933	0.325214871934247	4	1
0.0679296813005999	0.325010150082457	5	1
0.0674717671314554	0.324737187274718	5	1
0.0681207841151232	0.325146631341026	5	1
0.0679296813005999	0.325010150082457	5	1
0.503226739672013	0.712518798778791	6	1
0.503089018126444	0.71212257263497	6	1
0.502461299222777	0.712716871386407	6	1
0.503226739672013	0.712518798778791	6	1
0.534734576143162	0.382602966667769	7	1
0.54130020531577	0.382261772213821	7	1
0.543887947381506	0.36724924629286	7	1
0.548339449287255	0.367931631088051	7	1
0.548803078215858	0.374755497371393	7	1
0.554491309374507	0.372844811991256	7	1
0.555514789108682	0.346027488026448	7	1
0.559945761359502	0.348347537164663	7	1
0.559888500719805	0.333744781795158	7	1
0.554777117289877	0.333813019958511	7	1
0.5545450928594	0.312180504781372	7	1
0.558140474425721	0.302217034054357	7	1
0.557634748159654	0.302012312058128	7	1
0.551494229357981	0.29955568170377	7	1
0.545510644433869	0.303854823634776	7	1
0.534290164212347	0.303650098684242	7	1
0.532227089146769	0.306857490836744	7	1
0.528663891009999	0.304810211050434	7	1
0.530744716733549	0.330878764807244	7	1
0.534045065595968	0.342069752327952	7	1
0.532070530085708	0.360493662155017	7	1
0.533129253878905	0.365270332784046	7	1
0.530250763290997	0.380896994375634	7	1
0.532647293104034	0.382534727777472	7	1
0.534734576143162	0.382602966667769	7	1
0.532438080214375	0.390723299392654	8	1
0.530179885295725	0.38314887777824	8	1
0.529733434893101	0.388335030503032	8	1
0.531652602307098	0.392565743102628	8	1
0.53243854422706	0.390928015424501	8	1
0.532438080214375	0.390723299392654	8	1
0.343833565829581	0.538664992469853	9	1
0.343352243328394	0.539279177395215	9	1
0.343616172129702	0.539620390224559	9	1
0.343833565829581	0.538664992469853	9	1
0.343878733231916	0.542691266795145	10	1
0.343569470865077	0.5424865441437	10	1
0.343549311644093	0.543305432375645	10	1
0.343878733231916	0.542691266795145	10	1
0.607462220570226	0.707887786294525	11	1
0.610659551979267	0.703431984468504	11	1
0.612157818031699	0.707688830489504	11	1
0.617313496397346	0.697124463058886	11	1
0.615313757179892	0.696381059151523	11	1
0.614871771310328	0.685228866023874	11	1
0.612595744101785	0.687987142519803	11	1
0.613094214549808	0.691761152976558	11	1
0.612013331333855	0.694013163997635	11	1
0.609076662059583	0.688262392399531	11	1
0.608711955668849	0.692922548681454	11	1
