x	y	group
0.0580808080808071	0.0454545454545455	1
0.0833333333333324	0.045728615671335	1
0.108585858585858	0.0460026858881245	1
0.133838383838383	0.0461397209965193	1
0.184343434343434	0.0464137912133089	1
0.209595959595959	0.047510072080467	1
0.234848484848484	0.0498396689231781	1
0.26010101010101	0.0538136870666265	1
0.285353535353535	0.057102529668101	1
0.31060606060606	0.0609395127031546	1
0.335858585858585	0.0632691095458657	1
0.361111111111111	0.0661468468221559	1
0.386363636363636	0.0699838298572094	1
0.411616161616161	0.0750541288678159	1
0.436868686868687	0.0890317099240826	1
0.462121212121212	0.101913010113191	1
0.487373737373737	0.11424616986872	1
0.512626262626263	0.120823855071669	1
0.537878787878788	0.130827417984488	1
0.563131313131313	0.140008770246937	1
0.588383838383839	0.158234439663442	1
0.613636363636364	0.216337325622825	1
0.638888888888889	0.258955244333598	1
0.664141414141414	0.310206374873243	1
0.68939393939394	0.363650067147203	1
0.714646464646465	0.411064214651794	1
0.739898989898991	0.4580672568312	1
0.765151515151516	0.498903719132842	1
0.790404040404041	0.543303094252748	1
0.815656565656566	0.611957683558528	1
0.840909090909092	0.67924192178036	1
0.866161616161617	0.75392605585551	1
0.891414141414142	0.820114013210185	1
0.916666666666668	0.881916847096226	1
0.941919191919193	0.954545454545455	1
