xmin	xmax	clickSelects	group
0.0454545454545444	0.0707070707070697	1978	1
0.0707070707070697	0.095959595959595	1979	1
0.095959595959595	0.12121212121212	1980	1
0.12121212121212	0.159090909090908	1981	1
0.159090909090908	0.196969696969696	1983	1
0.196969696969696	0.222222222222222	1984	1
0.222222222222222	0.247474747474747	1985	1
0.247474747474747	0.272727272727272	1986	1
0.272727272727272	0.297979797979798	1987	1
0.297979797979798	0.323232323232323	1988	1
0.323232323232323	0.348484848484848	1989	1
0.348484848484848	0.373737373737373	1990	1
0.373737373737373	0.398989898989899	1991	1
0.398989898989899	0.424242424242424	1992	1
0.424242424242424	0.449494949494949	1993	1
0.449494949494949	0.474747474747475	1994	1
0.474747474747475	0.5	1995	1
0.5	0.525252525252525	1996	1
0.525252525252525	0.550505050505051	1997	1
0.550505050505051	0.575757575757576	1998	1
0.575757575757576	0.601010101010101	1999	1
0.601010101010101	0.626262626262627	2000	1
0.626262626262627	0.651515151515152	2001	1
0.651515151515152	0.676767676767677	2002	1
0.676767676767677	0.702020202020202	2003	1
0.702020202020202	0.727272727272728	2004	1
0.727272727272728	0.752525252525253	2005	1
0.752525252525253	0.777777777777778	2006	1
0.777777777777778	0.803030303030304	2007	1
0.803030303030304	0.828282828282829	2008	1
0.828282828282829	0.853535353535354	2009	1
0.853535353535354	0.87878787878788	2010	1
0.87878787878788	0.904040404040405	2011	1
0.904040404040405	0.92929292929293	2012	1
0.92929292929293	0.954545454545456	2013	1
